resource_name,action,risk_score,matched_terms,matched_combinations,normalized_text,recommendation
עד הקצה,ALLOW,0,"הקצה, עד",,עד הקצה,approved_example_allowed
OneAman,ALLOW,0,,,oneaman,approved_example_allowed
SOUF,ALLOW,0,,,souf,approved_example_allowed
"צה""לנט",ALLOW,0,,,צהלנט,approved_example_allowed
מתחם משותף (צד ימין)- ARMY + TS + אוזניה,ALLOW,0,"ימין, משותף, מתחם, צד",,מתחם משותף צד ימין army ts אוזניה,approved_example_allowed
מתחם משותף (צד שמאל)- ARMY + אוזניה,ALLOW,0,"משותף, מתחם, צד, שמאל",,מתחם משותף צד שמאל army אוזניה,approved_example_allowed
חדר 1- ARMY + אוזניה,ALLOW,0,חדר,,חדר 1 army אוזניה,approved_example_allowed
חדר 2- ARMY + אוזניה,ALLOW,0,חדר,,חדר 2 army אוזניה,approved_example_allowed
חדר 3- ARMY + אוזניה,ALLOW,0,חדר,,חדר 3 army אוזניה,approved_example_allowed
חדר 4- ARMY + אוזניה,ALLOW,0,חדר,,חדר 4 army אוזניה,approved_example_allowed
Army,ALLOW,0,,,army,approved_example_allowed
ArmyTs,ALLOW,0,,,armyts,approved_example_allowed
רילוקייטור,ALLOW,0,,,רילוקייטור,approved_example_allowed
עמדת עבודה אישית (סודי+סודי ביותר),ALLOW,8,"אישית, סודי, סודי ביותר, עבודה, עמדת",,עמדת עבודה אישית סודי סודי ביותר,approved_example_allowed
(סודי+סודי ביותר+uc) עמדת עבודה אישית,ALLOW,8,"אישית, סודי, סודי ביותר, עבודה, עמדת",,סודי סודי ביותר uc עמדת עבודה אישית,approved_example_allowed
"חד""ן (עד 14 אנשים)",ALLOW,0,"אנשים, עד",,חדן עד 14 אנשים,approved_example_allowed
יועץ כלכלי,ALLOW,0,"יועץ, כלכלי",,יועץ כלכלי,approved_example_allowed
עמדה סודי+ vc + אוזניות,ALLOW,8,"סודי, עמדה",,עמדה סודי vc אוזניות,approved_example_allowed
"חדר מג""ד - בדרגת סא""ל ומעלה בלבד",BLOCK,93,"בלבד, חדר, מג""ד, סא""ל",,חדר מגד בדרגת סאל ומעלה בלבד,keep_blocked_rank_or_command_exposure
(סודי+סודי ביותר+uc) חדר עבודה פרטי,ALLOW,8,"חדר, סודי, סודי ביותר, עבודה, פרטי",,סודי סודי ביותר uc חדר עבודה פרטי,approved_example_allowed
חדר עבודה פרטי (סודי+סודי ביותר),ALLOW,8,"חדר, סודי, סודי ביותר, עבודה, פרטי",,חדר עבודה פרטי סודי סודי ביותר,approved_example_allowed
"עד הקצה + צה""לנט",ALLOW,0,"הקצה, עד",,עד הקצה צהלנט,approved_example_allowed
כיתה מחלקתית (30-40 איש),ALLOW,8,"איש, כיתה, מחלקתית",,כיתה מחלקתית 30 40 איש,approved_example_allowed
כיתה פלוגתית (134 איש),ALLOW,8,"איש, כיתה, פלוגתית",,כיתה פלוגתית 134 איש,approved_example_allowed
"צי""ד (30 איש)",ALLOW,0,"איש, ציד",,ציד 30 איש,approved_example_allowed
"הדב""ם (30 איש)",ALLOW,0,איש,,הדבם 30 איש,approved_example_allowed
"צי""ד (30-40 איש)",ALLOW,0,"איש, ציד",,ציד 30 40 איש,approved_example_allowed
עד הקצה + OneAman,ALLOW,0,"הקצה, עד",,עד הקצה oneaman,approved_example_allowed
עד הקצה + כפר גלובלי + OneAman,ALLOW,0,"גלובלי, הקצה, כפר, עד",,עד הקצה כפר גלובלי oneaman,approved_example_allowed
עד הקצה+OneAman+SOUF,ALLOW,0,"הקצה, עד",,עד הקצה oneaman souf,approved_example_allowed
עד הקצה+SOUF+כפר גלובלי,ALLOW,0,"גלובלי, הקצה, כפר, עד",,עד הקצה souf כפר גלובלי,approved_example_allowed
עד הקצה + צהלנט,ALLOW,0,"הקצה, עד",,עד הקצה צהלנט,approved_example_allowed
צהלנט + OneAman,ALLOW,0,,,צהלנט oneaman,approved_example_allowed
צהלנט + army ts,ALLOW,0,,,צהלנט army ts,approved_example_allowed
army ts,ALLOW,0,,,army ts,approved_example_allowed
רחבת שילוח- עד 150 איש,ALLOW,0,"איש, עד, שילוח",,רחבת שילוח עד 150 איש,approved_example_allowed
ARMY + קליקנט,ALLOW,0,,,army קליקנט,approved_example_allowed
רחבת הפרקליטות הקטנה- עד 100 איש,ALLOW,0,"איש, הקטנה, עד",,רחבת הפרקליטות הקטנה עד 100 איש,approved_example_allowed
רחבת הפרקליטות הגדולה- עד 300 איש,ALLOW,0,"איש, עד",,רחבת הפרקליטות הגדולה עד 300 איש,approved_example_allowed
עד 8 אנשים,ALLOW,0,"אנשים, עד",,עד 8 אנשים,approved_example_allowed
עד 10 אנשים,ALLOW,0,"אנשים, עד",,עד 10 אנשים,approved_example_allowed
עד 12 אנשים,ALLOW,0,"אנשים, עד",,עד 12 אנשים,approved_example_allowed
עד 14 אנשים,ALLOW,0,"אנשים, עד",,עד 14 אנשים,approved_example_allowed
עד 16 אנשים,ALLOW,0,"אנשים, עד",,עד 16 אנשים,approved_example_allowed
עד 18 אנשים,ALLOW,0,"אנשים, עד",,עד 18 אנשים,approved_example_allowed
עד 20 אנשים,ALLOW,0,"אנשים, עד",,עד 20 אנשים,approved_example_allowed
"חד""ן +vc עד 4 אנשים",ALLOW,0,"אנשים, עד",,חדן vc עד 4 אנשים,approved_example_allowed
צהלנט,ALLOW,0,,,צהלנט,approved_example_allowed
עמדה סודי,ALLOW,8,"סודי, עמדה",,עמדה סודי,approved_example_allowed
מסך אזרחי,ALLOW,0,"אזרחי, מסך",,מסך אזרחי,approved_example_allowed
מסך+מחשב אזרחי,ALLOW,0,"אזרחי, מחשב, מסך",,מסך מחשב אזרחי,approved_example_allowed
עמדת עבודה אישית + vc,ALLOW,0,"אישית, עבודה, עמדת",,עמדת עבודה אישית vc,approved_example_allowed
תחקיר בטחוני,ALLOW,12,"תחקיר, תחקיר בטחוני",,תחקיר בטחוני,approved_example_allowed
כפר גלובלי,ALLOW,0,"גלובלי, כפר",,כפר גלובלי,approved_example_allowed
